model,held_out_scenario,n_test,accuracy,f1_macro
random_forest,EB_1M_m,41,1.0,1.0
random_forest,EB_1M_tu,43,1.0,1.0
random_forest,EB_2M_m,40,1.0,1.0
random_forest,EB_2M_tu,47,1.0,1.0
random_forest,EB_3M_m,39,1.0,1.0
random_forest,EB_3M_tu,39,1.0,1.0
random_forest,EB_4M_m,46,1.0,1.0
random_forest,EB_4M_tu,43,1.0,1.0
random_forest,EB_5M_m,41,1.0,1.0
random_forest,EB_5M_tu,50,1.0,1.0
random_forest,ED_120ms_m,42,1.0,1.0
random_forest,ED_120ms_tu,51,1.0,1.0
random_forest,ED_160ms_m,45,1.0,1.0
random_forest,ED_160ms_tu,45,1.0,1.0
random_forest,ED_200ms_m,45,1.0,1.0
random_forest,ED_200ms_tu,46,1.0,1.0
random_forest,ED_50ms_m,50,1.0,1.0
random_forest,ED_50ms_tu,39,0.7435897435897436,0.4264705882352941
random_forest,ED_80ms_m,41,1.0,1.0
random_forest,ED_80ms_tu,42,1.0,1.0
random_forest,EL_12pct_m,40,1.0,1.0
random_forest,EL_12pct_tu,46,1.0,1.0
random_forest,EL_16pct_m,38,1.0,1.0
random_forest,EL_16pct_tu,38,1.0,1.0
random_forest,EL_20pct_m,39,1.0,1.0
random_forest,EL_20pct_tu,37,1.0,1.0
random_forest,EL_5pct_m,40,1.0,1.0
random_forest,EL_5pct_tu,42,1.0,1.0
random_forest,EL_8pct_m,44,1.0,1.0
random_forest,EL_8pct_tu,41,1.0,1.0
random_forest,EN_high,46,1.0,1.0
random_forest,EN_http,54,0.6296296296296297,0.38636363636363635
random_forest,EN_low,39,1.0,1.0
random_forest,EN_ping,39,1.0,1.0
random_forest,EN_tcp,38,1.0,1.0
random_forest,EN_udp,38,1.0,1.0
random_forest,_pooled,1534,0.9804432855280313,0.9640429421968029
svm,EB_1M_m,41,1.0,1.0
svm,EB_1M_tu,43,0.9534883720930233,0.4880952380952381
svm,EB_2M_m,40,1.0,1.0
svm,EB_2M_tu,47,0.9787234042553191,0.4946236559139785
svm,EB_3M_m,39,1.0,1.0
svm,EB_3M_tu,39,0.9743589743589743,0.4935064935064935
svm,EB_4M_m,46,1.0,1.0
svm,EB_4M_tu,43,0.9767441860465116,0.49411764705882355
svm,EB_5M_m,41,1.0,1.0
svm,EB_5M_tu,50,1.0,1.0
svm,ED_120ms_m,42,1.0,1.0
svm,ED_120ms_tu,51,0.9019607843137255,0.4742268041237113
svm,ED_160ms_m,45,1.0,1.0
svm,ED_160ms_tu,45,1.0,1.0
svm,ED_200ms_m,45,1.0,1.0
svm,ED_200ms_tu,46,1.0,1.0
svm,ED_50ms_m,50,0.96,0.4897959183673469
svm,ED_50ms_tu,39,0.9230769230769231,0.48
svm,ED_80ms_m,41,1.0,1.0
svm,ED_80ms_tu,42,0.9285714285714286,0.48148148148148145
svm,EL_12pct_m,40,1.0,1.0
svm,EL_12pct_tu,46,1.0,1.0
svm,EL_16pct_m,38,1.0,1.0
svm,EL_16pct_tu,38,1.0,1.0
svm,EL_20pct_m,39,1.0,1.0
svm,EL_20pct_tu,37,1.0,1.0
svm,EL_5pct_m,40,0.975,0.4936708860759494
svm,EL_5pct_tu,42,1.0,1.0
svm,EL_8pct_m,44,0.9772727272727273,0.4942528735632184
svm,EL_8pct_tu,41,1.0,1.0
svm,EN_high,46,1.0,1.0
svm,EN_http,54,0.7777777777777778,0.4375
svm,EN_low,39,1.0,1.0
svm,EN_ping,39,1.0,1.0
svm,EN_tcp,38,1.0,1.0
svm,EN_udp,38,0.5526315789473685,0.3559322033898305
svm,_pooled,1534,0.9680573663624511,0.94136501886607
xgboost,EB_1M_m,41,1.0,1.0
xgboost,EB_1M_tu,43,1.0,1.0
xgboost,EB_2M_m,40,1.0,1.0
xgboost,EB_2M_tu,47,1.0,1.0
xgboost,EB_3M_m,39,1.0,1.0
xgboost,EB_3M_tu,39,1.0,1.0
xgboost,EB_4M_m,46,1.0,1.0
xgboost,EB_4M_tu,43,1.0,1.0
xgboost,EB_5M_m,41,1.0,1.0
xgboost,EB_5M_tu,50,1.0,1.0
xgboost,ED_120ms_m,42,1.0,1.0
xgboost,ED_120ms_tu,51,1.0,1.0
xgboost,ED_160ms_m,45,1.0,1.0
xgboost,ED_160ms_tu,45,1.0,1.0
xgboost,ED_200ms_m,45,1.0,1.0
xgboost,ED_200ms_tu,46,1.0,1.0
xgboost,ED_50ms_m,50,1.0,1.0
xgboost,ED_50ms_tu,39,0.6923076923076923,0.4090909090909091
xgboost,ED_80ms_m,41,1.0,1.0
xgboost,ED_80ms_tu,42,1.0,1.0
xgboost,EL_12pct_m,40,1.0,1.0
xgboost,EL_12pct_tu,46,1.0,1.0
xgboost,EL_16pct_m,38,1.0,1.0
xgboost,EL_16pct_tu,38,1.0,1.0
